title,year,budget,length,rating,votes
Magnolia,1999,37000000,188,8,43326
Mala Noche,1985,25000,78,7,73
Mala racha,2001,70000,65,8,6
Malcolm X,1992,34000000,202,7,6352
Male Order,2001,10000,23,8,6
Man of La Mancha,1972,12000000,132,5,496
Man on Fire,2004,70000000,146,7,10553
Man on the Moon,1999,52000000,118,7,18688
Manhunter,1986,15000000,119,7,6854
Maniac,1980,350000,87,5,680
Manito,2002,24000,78,7,134
March or Die,1977,9000000,104,5,306
Maria Chapdelaine,1983,4600000,107,6,39
Marie Antoinette,1938,1800000,149,7,228
Mark of Cain,1985,1000000,90,4,12
Marnie,1964,3000000,130,7,4095
Marooned,1969,8000000,134,5,550
Martin,1977,800000,95,6,753
Marty,1955,343000,94,7,1964
Mary Reilly,1996,47000000,108,5,2653
MASH,1970,3500000,116,7,14248
Matewan,1987,4000000,132,7,1797
Matilda,1996,36000000,98,6,4064
Maurice,1987,2600000,140,7,2123
May,2002,1700000,93,6,2934
Mean Creek,2004,500000,87,7,982
Mean Girls,2004,17000000,97,6,9841
Mean Streets,1973,150000,110,7,7361
Medium Cool,1969,800000,110,7,456
Meet Joe Black,1998,90000000,178,6,15661
Memento,2000,5000000,113,8,84741
Men in Love,1989,350000,85,2,20
Men of Honor,2000,32000000,129,6,9076
Men of War,1994,12000000,103,4,351
Men with Brooms,2002,7500000,102,5,1033
Menace II Society,1993,3500000,97,7,4403
Mercury Rising,1998,60000000,108,5,7838
Mercy Streets,2000,600000,106,4,145
Mesmerized,1986,5654930,94,4,133
Message in a Bottle,1999,30000000,126,5,5269
Meteor,1979,16000000,107,4,1048
Metoroporisu,2001,14500000,108,7,3126
Metro,1997,55000000,117,5,3330
Metropolitan,1990,430000,98,7,1343
Michael Collins,1996,25000000,133,6,4778
Mickey,1918,125000,93,7,18
Midnight Cowboy,1969,3600000,113,7,12473
Midnight Express,1978,2300000,121,7,7108
Midnight in the Garden of Good and Evil,1997,30000000,155,6,8073
Mildred Pierce,1945,1500000,111,7,2183
Minnie and Moskowitz,1971,900000,114,6,274
Minority Report,2002,102000000,145,7,48173
Miracle Mile,1988,3000000,87,6,1029
Misery,1990,20000000,107,7,12370
Miss Supreme Queen,1999,50000,24,5,9
Mission to Mars,2000,90000000,113,4,14404
Mission to Moscow,1943,1516000,123,6,81
Mississippi Burning,1988,15000000,128,7,7633
Mix,2004,1000000,97,5,88
Moby Dick,1956,4500000,115,7,1776
Modigliani,2004,12000000,128,5,69
Molly,1999,21000000,102,5,558
Mommie Dearest,1981,5000000,129,6,1595
Mona Lisa Smile,2003,65000000,117,6,6142
Money Train,1995,68000000,103,5,4771
Monsieur Verdoux,1947,2000000,124,7,1150
Monster,2003,8000000,109,7,10853
Montana,1998,4000000,96,5,404
Moonrise,1948,849452,90,6,66
Moonshine Mountain,1964,45000,90,1,19
More American Graffiti,1979,3000000,110,4,600
Mother Machree,1928,750000,75,5,18
Mother Night,1996,5500000,114,7,1182
Motor Psycho,1965,38000,74,5,144
Moulin Rouge,1952,1500000,119,7,592
Mujeres al borde de un ataque de nervios,1988,700000,90,7,3718
Mullet,2001,1000000,89,5,155
Mumford,1999,28000000,112,6,3268
Musa,2001,60000000,158,7,1488
Music of the Heart,1999,27000000,124,6,2247
Mutiny on the Bounty,1935,1950000,132,7,2367
Mutiny on the Bounty,1962,19000000,178,6,1296
My Beautiful Laundrette,1985,400000,97,6,2051
My Dog Skip,2000,7000000,95,7,2955
My Fair Lady,1964,17000000,170,7,12152
My Girl,1991,16500000,102,6,5213
My Own Private Idaho,1991,2500000,102,6,5218
Mystery Train,1989,2800000,113,7,2341
Mystic Pizza,1988,6000000,104,6,3571
Mystic River,2003,30000000,137,8,25337
Naked Paradise,1957,90000,68,1,5
Narc,2002,7500000,105,7,6640
Native Son,1986,2000000,111,5,115
Netto Perde Sua Alma,2001,1300000,102,6,29
Network,1976,3800000,121,8,9149
Never Among Friends,2002,7000,78,6,71
Never Let Me Go,1953,1500000,69,5,68
New Jack City,1991,8500000,97,6,3162
New Jersey Drive,1995,5000000,98,5,325
New York Stories,1989,15000000,119,6,2545
News for the Church,2004,50000,18,8,13
Next Stop Wonderland,1998,1000000,104,6,1380
Night Train to Mundo Fine,1966,30000,89,2,1027
Nil by Mouth,1997,9000000,128,6,1103
Nisuim Fiktiveem,1988,25000,90,7,6
Nixon,1995,50000000,192,6,5536
No Blade of Grass,1970,1500000,96,6,79
No Looking Back,1998,5000000,96,5,592
Noro,2002,500000,85,5,11
North,1994,40000000,87,4,2380
Northfork,2003,1900000,103,6,1384
Not as a Stranger,1955,2000000,135,6,216
Nothing But a Man,1964,230000,95,7,124
Nothing to Lose,1996,200000,108,4,130
Notting Hill,1999,42000000,124,7,25763
November,2004,1500000,73,2,142
Novocaine,2001,6000000,95,5,2676
Nueve reinas,2000,1500000,114,7,3427
Nurse Betty,2000,24000000,110,6,9983
O,2001,5000000,95,6,4282
O da beni seviyor,2001,1500000,106,6,21
Obsession,1976,1400000,98,6,875
Ocean Tribe,1997,380000,106,5,54
Odinokij igrok,1995,400000,90,6,5
Ogniem i mieczem,1999,8000000,175,6,351
Oliver Twist,1922,175000,74,6,59
On the Border,1998,3000000,103,4,152
On the Waterfront,1954,910000,108,8,12072
Once Upon a Time in America,1984,30000000,229,8,17855
One,1998,180000,102,6,49
One Eight Seven,1997,23000000,119,6,2767
One from the Heart,1982,26000000,107,5,718
One Hour Photo,2002,12000000,96,7,15993
One Night Stand,1997,24000000,102,5,1646
One True Thing,1998,30000000,127,7,2435
Onegin,1999,14000000,106,6,1262
Open Range,2003,26000000,139,7,7968
Orange County,2002,18000000,82,6,7938
Ordinary People,1980,6000000,124,7,6451
Original Gangstas,1996,4800000,99,5,194
Original Sin,2001,26000000,116,5,4246
Orlando,1992,5000000,93,6,1834
Osama,2003,46000,83,7,1303
Othello,1995,11000000,123,6,1760
Our Daily Bread,1934,125000,80,7,116
Out of Africa,1985,31000000,150,6,6404
Out of Sight,1998,48000000,123,7,18076
Outbreak,1995,50000000,127,6,13089
Outcasts,2002,20000,88,9,5
Outside Providence,1999,7000000,96,6,2617
Owning Mahowny,2003,10000000,104,6,1802
Pandaemonium,2000,15000000,124,5,235
Pandora and the Flying Dutchman,1951,1500000,122,6,222
Panic,2000,1000000,88,6,2420
Panic Room,2002,48000000,112,7,22643
Papa,2004,3500000,94,7,58
Papillon,1973,12000000,150,7,8971
Parachute Jumper,1933,206000,65,6,110
Parnell,1937,1547000,118,4,47
Party Monster,2003,5000000,98,5,1725
Patch Adams,1998,50000000,115,6,11474
Paths of Glory,1957,935000,87,8,13605
Patriot Games,1992,45000000,117,6,12154
Patton,1970,12000000,170,8,13629
Pavilion of Women,2001,5000000,116,5,187
Pay It Forward,2000,40000000,123,6,12705
Payback,1999,50000000,100,6,17258
Payday,1972,76000,103,6,49
Pearl Harbor,2001,135250000,183,5,31493
Peggy Sue Got Married,1986,18000000,104,6,5543
Pennies from Heaven,1981,22000000,108,6,1046
Permanent Record,1988,8000000,91,6,339
Phantom of the Opera,1943,1500000,92,6,575
Phenomena,1985,3800000,116,6,1489
Phenomenon,1996,32000000,123,6,11481
Philadelphia,1993,26000000,125,7,16778
Pieces of April,2003,300000,80,7,3976
Pierrot le fou,1965,300000,110,7,1392
Pink Narcissus,1971,27000,71,4,107
Planet of the Apes,1968,5800000,112,7,19691
Platoon,1986,6000000,120,8,33199
Play It to the Bone,1999,24000000,124,5,2516
Playing by Heart,1998,14000000,121,7,4679
Pleasantville,1998,40000000,124,7,21610
Pocketful of Miracles,1961,2900000,136,7,715
Poetic Justice,1993,14000000,109,5,1135
Point Blank,1967,3000000,92,7,1561
Point Break,1991,24000000,122,6,10522
Poison,1991,250000,85,6,426
Pollock,2000,6000000,122,7,3769
Pollyanna,1920,300000,58,7,43
Poolhall Junkies,2002,4000000,94,6,1240
Porgy and Bess,1959,7000000,138,7,260
Portrait of Jennie,1948,4041000,86,7,892
Possums,1998,1400000,97,5,59
Practical Magic,1998,60000000,103,5,7338
Prefontaine,1997,8000000,106,6,870
Price of Glory,2000,10000000,118,6,257
Primal Fear,1996,30000000,129,7,11744
Primary Colors,1998,65000000,143,6,7385
Prince of Darkness,1987,3000000,102,6,2632
Prison,1988,4000000,102,5,297
Private Parts,1997,20000000,109,6,8947
Proof of Life,2000,65000000,135,6,9053
Pulp Fiction,1994,8000000,154,8,124655
Pushing Tin,1999,33000000,124,5,7187
Pygmalion,1938,350000,96,7,838
Queen Christina,1933,1114000,97,7,685
Quest for Camelot,1998,40000000,86,5,908
Quigley Down Under,1990,20000000,119,6,2176
Quo Vadis,1951,7000000,171,6,1209
Radio,2003,35000000,109,6,3228
Radio Days,1987,16000000,85,7,3776
Radio Flyer,1992,35000000,114,6,2314
Raging Bull,1980,18000000,129,8,24663
Rain Man,1988,25000000,133,7,40220
Raintree County,1957,5000000,182,6,402
Raise the Titanic,1980,36000000,115,4,568
Raising the Stakes,1999,100000,88,4,23
Raising Victor Vargas,2002,800000,88,6,1674
Ran,1985,11500000,160,8,11273
Rancid Aluminium,2000,12000000,98,3,336
Random Hearts,1999,64000000,133,4,5691
Ransom,1996,80000000,121,6,16914
Rapa Nui,1994,20000000,107,5,712
Ravenous,1999,12000000,100,6,5550
Real Women Have Curves,2002,3000000,90,7,1812
Reality of Life,2002,12000,115,1,13
Reap the Wild Wind,1942,4000000,123,6,325
Rebecca,1940,1288000,130,8,10824
Rebel Without a Cause,1955,1500000,111,7,10576
Red Cockroaches,2004,2000,82,8,22
Red Dust,1932,408000,83,7,427
Red Ribbon Blues,1996,3000000,97,4,37
Reds,1981,35000000,194,7,2245
Reflections in a Golden Eye,1967,4500000,108,6,547
Reindeer Games,2000,36000000,104,5,6764
Remember the Titans,2000,30000000,113,7,13268
Renaissance Man,1994,40000000,128,5,3004
Requiem for a Dream,2000,4500000,102,8,43850
Restoration,1995,18000000,117,6,1803
Resurrection Man,1998,4000000,102,4,193
Return to Innocence,2001,100000,98,7,471
Return to Me,2000,24000000,115,6,4861
Revelation,1999,5000000,98,4,191
Rhapsody in Bloom,1998,2200000,92,6,101
Rhythm Thief,1994,30000,88,6,67
Rich Kids,1979,2500000,101,5,82
Richard III,1912,30000,55,7,20
Riding in Cars with Boys,2001,48000000,132,6,4373
Riptide,1934,500000,92,6,54
Road to Perdition,2002,80000000,117,7,28608
Rob Roy,1995,28000000,139,6,6318
Robin and Marian,1976,5000000,106,6,1609
Rock Star,2001,38000000,105,5,4780
Rocky,1976,1100000,119,7,21254
Rocky IV,1985,31000000,91,5,10591
Rogue Trader,1999,12800000,101,6,1305
Roman Holiday,1953,1500000,118,8,9003
Romance,1930,496000,76,5,50
Romeo Must Die,2000,25000000,115,5,9687
Roommates,1995,22000000,108,6,430
Rosewood,1997,31000000,140,6,1767
Rounders,1998,12000000,121,7,12630
Ruby in Paradise,1993,800000,114,7,796
Rules of Engagement,2000,60000000,128,6,7455
Rumble Fish,1983,10000000,94,6,3182
Runaway Jury,2003,60000000,127,7,9656
Rushmore,1998,10000000,93,7,20890
Saadia,1953,1250000,82,4,8
Sabrina,1995,58000000,127,6,7218
Sahara,1983,25000000,111,3,141
Salvador,1986,4500000,123,7,2411
San Francisco,1936,1300000,115,7,644
Sands of Iwo Jima,1949,1000000,100,7,1155
Santa sangre,1989,787000,123,7,1088
Saturn,1999,350000,94,5,38
Satyricon,1969,3000000,138,6,1726
Save the Last Dance,2001,13000000,112,6,7143
Saving Private Ryan,1998,70000000,170,8,95227
Savior,1998,10000000,103,7,1669
Scaramouche,1923,858723,101,7,51
Scaramouche,1952,3500000,115,7,741
Scarface,1983,25000000,170,7,25227
Scarlett Mecca and the Pentagram Girl,2000,20000,20,6,8
School Daze,1988,6500000,121,5,895
Seabiscuit,2003,86000000,141,7,10589
Search and Destroy,1995,4000000,90,4,391
Secondhand Lions,2003,30000000,111,7,4986
Secret Window,2004,40000000,96,6,11260
Selena,1997,20000000,127,6,2707
Sense and Sensibility,1995,16500000,136,7,13341
September,1987,10000000,82,6,855
Set It Off,1996,9000000,123,6,1523
Seven Days in May,1964,2200000,118,7,1871
Seven Sinners,1940,760000,87,6,159
Seven Years in Tibet,1997,70000000,139,6,8831
Shadow of the Vampire,2000,8000000,92,6,7919
Shadows and Fog,1992,14000000,85,6,2186
Shaft,1971,1125000,100,6,2798
Shakespeare in Love,1998,25000000,122,7,40409
Shall We Dance,2004,40000000,106,5,1911
Shallow Grave,1994,2500000,93,7,8954
Shallow Hal,2001,40000000,113,6,12208
Shampoo Horns,1996,2500000,89,4,20
Shattered Glass,2003,6000000,95,7,3587
She Had to Say Yes,1933,111000,65,5,38
Sheena,1984,25000000,117,3,583
Shichinin no samurai,1954,500000,160,8,29687
Shine,1996,5500000,105,7,12065
Show Boat,1951,2295429,107,7,608
Showgirls,1995,45000000,128,3,10941
Sibirskij tsiryulnik,1998,35000000,180,6,1148
Sid and Nancy,1986,4000000,112,7,2887
Sideways,2004,12000000,123,8,6364
Signs,2002,72000000,106,7,37600
Silent Cry,2002,4500000,85,3,29
Silmido,2003,8000000,135,7,313
Simon Birch,1998,20000000,113,6,4356
Since You Went Away,1944,2400000,172,7,510
Sins of Jezebel,1953,100000,74,5,9
Skeletons in the Closet,2000,1500000,86,5,228
Slacker,1991,23000,97,6,1974
Slam,1998,1000000,100,7,545
Sleepers,1996,44000000,147,7,16783
Sleepless in Seattle,1993,21000000,105,6,18353
Sleepwalk,2000,100000,98,5,47
Slums of Beverly Hills,1998,5000000,91,6,2783
Smoke,1995,7000000,112,7,7817
Smoke Signals,1998,2000000,88,7,2573
Snitch,1998,11000000,93,5,392
Snow Falling on Cedars,1999,36000000,127,6,4336
Snow White and the Seven Dwarfs,1937,1488000,83,7,13546
Soft for Digging,2001,6000,74,6,68
Solaris,2002,47000000,99,6,10976
Solomon and Sheba,1959,5000000,141,5,226
Solstice,1994,130000,48,5,9
Somewhere in Time,1980,5100000,103,6,3667
Song jia huang chao,1997,50000000,140,6,141
Songcatcher,2000,1800000,109,7,864
Soul Food,1997,7500000,114,6,1103
Space Cowboys,2000,65000000,130,6,11195
Spanking the Monkey,1994,200000,100,6,1297
Sparrows,1926,463455,84,7,110
Spartacus,1960,12000000,184,8,16133
Species,1995,35000000,108,5,8534
Spellbound,1945,1696377,111,7,4781
Spider,2002,8000000,98,6,4821
Spring Forward,1999,2000000,110,7,295
Spun,2002,2800000,101,6,3387
Spy Game,2001,92000000,126,7,15664
Squeeze,1997,155000,102,4,53
Stacey,1973,100000,81,6,10
Stag,1997,3000000,91,5,278
Stage Door,1937,952000,92,7,980
Stagecoach,1939,531300,96,8,5387
Stakeout on Dope Street,1958,35000,89,7,8
Stand by Me,1986,8000000,89,7,29073
Stanley and Livingstone,1939,2000000,101,7,167
Stardust Memories,1980,10000000,91,6,2031
Starman,1984,24000000,115,6,5279
State of the Union,1948,2600000,124,7,424
Stealing Harvard,2002,25000000,82,4,2360
Steamboy,2004,20000000,126,6,132
Stepmom,1998,50000000,124,6,7083
Stigmata,1999,32000000,103,6,13344
Stolen Summer,2002,1500000,91,6,734
Strange Interlude,1932,408000,109,5,88
Stranger on the Third Floor,1940,171200,64,6,204
Stranger Than Paradise,1983,90000,89,7,2709
Strangers on a Train,1951,1200000,101,8,10080
Straw Dogs,1971,3251794,118,7,4353
Street Scene,1931,584000,80,7,138
Striptease,1996,50000000,115,3,7636
Sub terra,2003,1200000,105,7,50
Submarine,1928,150000,93,6,17
Suicide Kings,1997,5000000,106,6,5746
Sumas y restas,2004,1500000,108,6,6
Summer of Sam,1999,22000000,142,6,7773
Sunday,1997,450000,91,7,240
Sunshine State,2002,5600000,141,7,1423
Supervixens,1975,250000,106,6,476
Surface Calm,2001,15000,18,5,19
Surviving Picasso,1996,16000000,125,6,1076
Suzy,1936,614000,93,6,138
Sweet Charity,1969,20000000,149,6,598
Sweet Home Alabama,2002,38000000,108,5,9321
Sweet November,2001,40000000,119,5,5027
Swimfan,2002,8500000,85,4,3640
Swimming with Sharks,1994,700000,101,7,4639
Swingers,1996,200000,96,7,15161
Switchblade Sisters,1975,320000,91,5,384
Swoon,1992,250000,82,7,279
Symphony of Six Million,1932,270000,94,5,56
Tabu,1931,150000,84,7,288
Tadpole,2002,150000,78,6,1650
Take a Giant Step,1959,300000,100,5,5
Talk Radio,1988,4000000,110,6,1963
Tang shan da xiong,1971,100000,115,6,1324
Taras Bulba,1962,7000000,124,5,383
Tart,2001,3300000,94,4,671
Taxi Driver,1976,1300000,113,8,44908
Tea with Mussolini,1999,12000000,117,6,2596
Tears of the Sun,2003,70000000,121,6,7727
Teenage Thunder,1957,46000,78,4,6
Tell Me That You Love Me,1983,1000000,91,3,5
Telling Lies in America,1997,4000000,101,6,605
Temporary Girl,1998,250000,90,7,18
Ten to Chi to,1990,42000000,215,6,229
Tevya,1939,70000,93,6,44
Texas Rangers,2001,38000000,90,5,879
Thaw,2000,15000,14,8,6
There Goes My Baby,1994,10500000,99,6,236
They Died with Their Boots On,1941,2200000,140,7,631
They Drive by Night,1940,500000,95,7,601
Thief of Hearts,1984,9000000,100,5,350
Thieves Like Us,1974,800000,123,6,285
Thirteen,2003,1500000,100,7,7652
Thirteen Conversations About One Thing,2001,3000000,104,7,2714
Thirteen Days,2000,80000000,145,7,10462
This Is Elvis,1981,5000000,101,6,188
This Is Not a Love Story,2002,1000000,81,3,9
This Love of Ours,1945,2000000,90,5,20
This Property Is Condemned,1966,4000000,110,6,460
This Space Between Us,2000,1290000,98,4,30
Three Bewildered People in the Night,1987,5000,92,5,21
Three Faces West,1940,100000,79,5,94
Three Kings,1999,48000000,114,7,30056
Thunder Afloat,1939,1000000,95,5,15
Time Changer,2002,825000,95,4,278
Timecode,2000,4000000,97,6,2231
Tin Cup,1996,45000000,135,6,7168
Tin Men,1987,11000000,110,6,1968
Titanic,1997,200000000,194,6,86056
Titus Andronicus,2000,16000,167,3,10
To Die For,1995,20000000,106,6,7331
To Kill a Mockingbird,1962,2000000,129,8,28724
Tommy,1975,5000000,111,6,2731
Too Late Blues,1961,375000,103,6,59
Top Gun,1986,15000000,110,6,30736
Topaz,1969,4000000,143,6,1785
Torrent,1926,250000,88,7,72
Traffic,2000,48000000,147,7,39418
Traffic in Souls,1913,5700,74,6,41
Training Day,2001,45000000,120,7,20857
Trainspotting,1996,3500000,94,8,48972
Trapeze,1956,4000000,105,6,445
Trash,1970,25000,110,6,295
Travellers and Magicians,2003,1800000,108,6,123
Trees Lounge,1996,1300000,95,7,3026
Tribute,1980,8400000,121,5,100
Tromeo and Juliet,1996,350000,102,5,969
Trotsky,1993,1500000,98,4,8
Troy,2004,185000000,163,7,29457
True Romance,1993,12500000,120,7,24254
Tuck Everlasting,2002,15000000,88,6,1888
Tui shou,1992,400000,105,7,293
Tumbleweeds,1999,312000,102,6,1086
Turn It Up,2000,9000000,86,4,120
Turning Paige,2001,1000000,109,6,93
Tusk,1980,1500000,119,4,23
Twelve Monkeys,1995,29000000,129,7,59184
Twice Today,2001,40000,80,8,5
Twin Falls Idaho,1999,500000,111,7,1467
Twin Town,1997,3300000,99,6,1108
Twister,1996,92000000,113,5,27172
Two for the Road,1967,4000000,111,7,1175
Two Girls and a Guy,1997,1000000,84,5,1936
U Turn,1997,19000000,125,6,9688
Ultimo tango a Parigi,1972,1250000,136,6,3699
Unbreakable,2000,75000000,106,7,33742
Unconquered,1947,4000000,146,6,235
Under Siege,1992,12000000,103,6,8912
Under Suspicion,2000,25000000,110,6,3452
Under the Skin,1997,1000000,82,6,349
Under the Tuscan Sun,2003,18000000,113,6,3718
Underneath,1995,6500000,99,6,656
Une chance sur deux,1998,32000000,110,5,455
Unfaithful,2002,50000000,124,6,8204
Union Pacific,1939,1000000,135,7,213
Unstoppable,2004,15000000,96,4,446
Urbania,2000,225000,103,6,1045
Utomlyonnye solntsem,1994,2800000,152,7,2076
V leru,1999,250000,90,6,110
Vacant Lot,2000,75000,108,7,11
Valley of the Dolls,1967,5000000,123,5,918
Vanilla Sky,2001,68000000,136,6,28846
Varsity Blues,1999,16000000,106,5,7611
Vatel,2000,36000000,103,6,1229
Vendetta,1950,4000000,83,5,8
Venus in Furs,1967,8500,65,1,5
Veronica Guerin,2003,17000000,98,6,2366
Vertigo,1958,2479000,128,8,32264
Voditel dlya Very,2004,3300000,105,7,145
Volcano,1997,90000000,104,5,8142
Vor,1997,2000000,96,7,806
Wait Until Dark,1967,4000000,107,7,3267
Waiting to Exhale,1995,15000000,127,5,1547
Wake of the Red Witch,1948,1200343,106,6,254
Walking Across Egypt,1999,4500000,100,6,234
Walking and Talking,1996,1000000,86,6,859
Walking Tall,1973,500000,125,6,565
Wall Street,1987,15000000,125,7,10623
War and Peace,1956,6000000,208,6,730
WarGames,1983,12000000,114,6,11054
Waterloo Bridge,1931,251289,81,7,127
Waterworld,1995,175000000,136,5,18379
Way Down East,1920,700000,145,7,270
Way Out West,1930,20000,71,5,19
We Were Soldiers,2002,75000000,138,7,13713
We Were Strangers,1949,900000,106,6,51
Week End,1967,250000,105,7,983
Weekend of Shadows,1978,500000,95,6,11
Welcome to Sarajevo,1997,9000000,103,6,1389
Welcome to the Dollhouse,1995,800000,88,7,5534
West Beyrouth,1998,800000,105,7,416
West Side Story,1961,6000000,151,7,12256
Westward Ho,1935,35000,61,4,29
What a Girl Wants,2003,20000000,105,5,3151
What Dreams May Come,1998,85000000,113,6,11016
What Lies Beneath,2000,90000000,130,6,19544
What Price Glory,1926,360000,116,7,33
Whatever It Takes,2000,15000000,94,5,1692
Where the Heart Is,2000,15000000,120,6,4783
Where the Money Is,2000,18000000,89,6,1379
White Mischief,1987,5300000,107,6,533
White Oleander,2002,16000000,109,6,4190
White Squall,1996,38000000,129,6,3251
White Star,1983,100000,92,4,23
Wicked Spring,2002,500000,102,5,145
Wide Awake,1998,7000000,88,5,604
Wild at Heart,1990,9500000,124,7,8997
Wild Guitar,1962,30000,92,4,51
Wild in the Streets,1968,1000000,94,5,312
Wild Orchids,1929,322000,100,6,52
Wilde,1997,10000000,118,6,2396
Wilson,1944,4000000,154,6,141
Wimbledon,2004,31000000,98,6,2911
Wind River,1998,5500000,97,5,93
Windtalkers,2002,115000000,134,5,8461
Wings,1927,800000,139,7,750
Winter Kills,1979,6500000,97,6,271
Wisegirls,2002,11000000,96,5,750
Without Limits,1998,25000000,117,6,1192
Witness,1985,12000000,112,7,13929
Witness for the Prosecution,1957,3000000,116,8,4918
Wolf,1994,70000000,125,5,6790
Women in Love,1969,1600000,131,7,771
Wonder,2001,40000,31,7,16
Wonder Boys,2000,35000000,111,7,14949
World Traveler,2001,2000000,103,5,321
Yentl,1983,12000000,132,5,1941
Yerma,1999,1670000,118,5,35
Yesil isik,2002,1500000,102,3,35
Yo puta,2004,6000000,90,5,84
You Can Count on Me,2000,1200000,111,7,7257
You Got Served,2004,8000000,95,1,6090
You Only Live Once,1937,575000,86,7,305
Young Guns,1988,13000000,102,6,7640
Yume,1990,12000000,119,7,2515
Zabriskie Point,1970,7000000,110,6,1292
Zohar,1993,800000,113,5,25
Zvezda,2002,1300000,97,7,147
