title,year,budget,length,rating,votes
Ravenous,1999,12000000,100,6,5550
Real Women Have Curves,2002,3000000,90,7,1812
Red Ribbon Blues,1996,3000000,97,4,37
Renaissance Man,1994,40000000,128,5,3004
Rent Control,1984,100000,95,5,9
Repo Man,1984,1500000,92,6,4760
Return of the Living Dead Part II,1988,6200000,89,4,1166
Return to Me,2000,24000000,115,6,4861
Revenge of the Nerds,1984,8000000,90,6,5716
Revenge of the Unhappy Campers,2002,175000,98,8,26
Rich Kids,1979,2500000,101,5,82
Riding in Cars with Boys,2001,48000000,132,6,4373
Risky Business,1983,6200000,98,6,8160
Road Trip,2000,15600000,93,6,14920
Roberta,1935,610000,106,6,238
Robin Hood,1973,15000000,83,7,3091
Rock and Roll Fantasy,1992,50000,90,4,36
Rock Star,2001,38000000,105,5,4780
Rockula,1990,1500000,87,4,85
Roman Holiday,1953,1500000,118,8,9003
Roman Scandals,1933,1000000,85,6,78
Roommates,1995,22000000,108,6,430
Roy,2000,500000,11,6,12
Royal Wedding,1951,1590920,93,6,500
Runaway Bride,1999,70000000,116,5,11971
Rush Hour,1998,35000000,97,6,17350
Rushmore,1998,10000000,93,7,20890
Sabrina,1954,2238813,113,7,5597
Sabrina,1995,58000000,127,6,7218
Safe Men,1998,1000000,88,6,567
Sally and Angela,2001,5000,12,6,13
Satyricon,1969,3000000,138,6,1726
Saving Silverman,2001,22000000,90,5,6200
Scary Movie,2000,19000000,88,5,22047
Schizopolis,1996,250000,96,7,853
School Daze,1988,6500000,121,5,895
Screen Test,1985,1000000,84,3,35
Screwed,2000,10000000,81,4,1492
Search and Destroy,1995,4000000,90,4,391
Secondhand Lions,2003,30000000,111,7,4986
See Spot Run,2001,16000000,94,5,1113
Sense and Sensibility,1995,16500000,136,7,13341
Serendipity,2001,28000000,90,6,9900
Serial Mom,1994,13000000,95,6,4480
Seven Sinners,1940,760000,87,6,159
Shadow of the Vampire,2000,8000000,92,6,7919
Shadows and Fog,1992,14000000,85,6,2186
Shakes the Clown,1992,1400000,87,5,805
Shakespeare in Love,1998,25000000,122,7,40409
Shall We Dance,1937,991000,109,7,569
Shall We Dance,2004,40000000,106,5,1911
Shallow Hal,2001,40000000,113,6,12208
Shanghai Knights,2003,50000000,114,6,6753
Shanghai Noon,2000,55000000,110,6,11613
Shark Tale,2004,75000000,90,5,4925
She Done Him Wrong,1933,200000,66,6,459
Shock Treatment,1981,3500000,94,4,547
Shooting Fish,1997,3000000,109,6,2598
Showboy,2002,300000,93,4,62
Showtime,2002,85000000,95,5,7092
Shrek,2001,60000000,90,8,60989
Sidewalks of New York,2001,1000000,108,6,1876
Sideways,2004,12000000,123,8,6364
Silent Movie,1976,4400000,87,6,2179
Silk Stockings,1957,1853463,117,6,430
Simon Birch,1998,20000000,113,6,4356
Simply Irresistible,1999,6000000,94,4,2895
Sinful Davey,1969,3000000,95,5,69
Sins of the Fleshapoids,1965,1000,40,7,13
Sirota kazanskaya,1997,800000,82,6,44
Six Days Seven Nights,1998,70000000,101,5,10697
Sixteen Candles,1984,6500000,93,6,8246
Slacker,1991,23000,97,6,1974
Slackers,2002,11000000,86,4,2561
Sleeper,1973,2000000,89,7,5275
Sleepless in Seattle,1993,21000000,105,6,18353
Slums of Beverly Hills,1998,5000000,91,6,2783
Small Soldiers,1998,40000000,108,5,6521
Small Time Crooks,2000,18000000,94,6,5876
Smoke,1995,7000000,112,7,7817
Smoke Signals,1998,2000000,88,7,2573
Snow Day,2000,13000000,89,4,1558
Snow Dogs,2002,35000000,99,5,2228
Snow White and the Three Stooges,1961,3500000,107,3,164
Social Intercourse,1998,15000,90,4,79
Soliloquy,2001,3000,29,7,12
Some Like It Hot,1959,2883848,120,8,24167
Something to Sing About,1937,900000,93,5,73
Sorority Boys,2002,12000000,93,5,2227
Sorority House Vampires,1998,50000,86,1,81
Sorte Nula,2004,150000,85,7,106
Soul Food,1997,7500000,114,6,1103
Soul Plane,2004,16000000,86,3,1913
Space Cowboys,2000,65000000,130,6,11195
Space Jam,1996,80000000,87,5,7480
Space Truckers,1996,25000000,95,4,1389
Spaceballs,1987,22700000,96,6,18829
Spaced Invaders,1990,3000000,100,4,591
Spaceman,1997,50000,88,4,66
Spanking the Monkey,1994,200000,100,6,1297
Spelling Bee,2004,20000,13,8,5
Spice World,1997,25000000,93,2,8071
Spies Like Us,1985,22000000,102,5,6152
Splash,1984,8000000,111,6,8992
Spring Fever,1982,4300000,100,4,22
Spudmonkey,2001,1100000,88,7,7
Spun,2002,2800000,101,6,3387
Spy Hard,1996,18000000,81,4,4418
Spy Kids,2001,35000000,88,6,6987
Star of Midnight,1935,280000,90,6,80
Stardust Memories,1980,10000000,91,6,2031
State of the Union,1948,2600000,124,7,424
Stealing Harvard,2002,25000000,82,4,2360
Steamboat Willie,1928,4986,8,7,358
Stepmom,1998,50000000,124,6,7083
Stranger Than Paradise,1983,90000,89,7,2709
Strike Up the Band,1940,838661,120,6,129
Stripes,1981,10000000,106,6,6978
Striptease,1996,50000000,115,3,7636
Stuart Little,1999,103000000,84,6,7549
Sugar Town,1999,250000,92,5,298
Suicide Kings,1997,5000000,106,6,5746
Summer Catch,2001,17000000,108,4,2432
Super Troopers,2001,3000000,100,6,7083
Superstar,1999,14000000,81,4,2712
Supervixens,1975,250000,106,6,476
Sweet Charity,1969,20000000,149,6,598
Sweet Hideaway,2003,350000,96,1,13
Sweet Home Alabama,2002,38000000,108,5,9321
Sweet November,2001,40000000,119,5,5027
Swept Away,2002,10000000,89,3,1899
Swimming with Sharks,1994,700000,101,7,4639
Swing Time,1936,886000,103,7,1048
Swingers,1996,200000,96,7,15161
Sylvia Scarlett,1935,1000000,95,5,387
Sztuka spadania,2004,100000,6,8,34
Tadpole,2002,150000,78,6,1650
Take Me Out to the Ball Game,1949,1725970,93,6,361
Take the Money and Run,1969,1500000,85,7,2848
Talk to Taka,2000,100000,12,3,37
Tank Girl,1995,25000000,104,4,4130
Tea with Mussolini,1999,12000000,117,6,2596
Teen Wolf Too,1987,3000000,95,2,2111
Tell Me That You Love Me,1983,1000000,91,3,5
Temporary Girl,1998,250000,90,7,18
Terror Tract,2000,11000000,96,5,268
That Little Monster,1994,30000,56,6,62
Theodore Rex,1995,33000000,92,2,531
There Goes My Baby,1994,10500000,99,6,236
They Call Him Sasquatch,2003,1000000,100,6,9
This Is Not a Love Story,2002,1000000,81,3,9
This Space Between Us,2000,1290000,98,4,30
Thoroughly Modern Millie,1967,6000000,138,6,769
Three Fugitives,1989,15000000,90,5,1588
Three Kings,1999,48000000,114,7,30056
Three Little Pigs,1933,15720,8,7,221
Three Smart Girls,1936,326000,84,7,96
Three to Tango,1999,20000000,98,6,5450
Thunderbirds,2004,57000000,95,4,1217
Thunderbolt and Lightfoot,1974,4000000,114,6,1836
Tickle Me,1965,1480000,90,4,159
Time Bandits,1981,5000000,116,6,8939
Timecode,2000,4000000,97,6,2231
Tin Cup,1996,45000000,135,6,7168
Tin Men,1987,11000000,110,6,1968
To Die For,1995,20000000,106,6,7331
Tom Jones,1963,1000000,121,7,1306
Tomcats,2001,11000000,95,4,3511
Top Dog,1995,6000000,86,3,320
Top Hat,1935,609000,101,7,2101
Tovarich,1937,1400000,98,7,114
Toy Story,1995,30000000,81,7,43795
Trees Lounge,1996,1300000,95,7,3026
Tri istorii,1997,500000,105,7,75
Tribute,1980,8400000,121,5,100
Tromeo and Juliet,1996,350000,102,5,969
Trouble in Paradise,1932,519706,83,8,1226
True Lies,1994,100000000,144,7,29591
Tui shou,1992,400000,105,7,293
Tunnel Vision,1976,250000,70,4,161
Twin Town,1997,3300000,99,6,1108
Twins,1988,15000000,105,5,12541
Two Can Play That Game,2001,6000000,90,5,799
Two for the Road,1967,4000000,111,7,1175
Two Girls and a Guy,1997,1000000,84,5,1936
Two Weeks Notice,2002,60000000,101,5,13891
UHF,1989,5000000,97,6,6157
Under the Rainbow,1981,20000000,97,4,512
Under the Tuscan Sun,2003,18000000,113,6,3718
Undercover Brother,2002,25000000,86,6,4832
Une chance sur deux,1998,32000000,110,5,455
Unstoppable,2004,15000000,96,4,446
Up in Arms,1944,2000000,106,6,126
Uptown Saturday Night,1974,3000000,104,5,261
Urban Relics,1998,500000,96,8,5
V leru,1999,250000,90,6,110
Valley Girl,1983,350000,99,5,1947
Vampire in Brooklyn,1995,14000000,100,4,2539
Van Wilder,2002,6000000,92,5,6945
Very Bad Things,1998,10000000,100,5,9520
Vivacious Lady,1938,703000,90,6,198
Wag the Dog,1997,15000000,97,7,15657
Waiting for Guffman,1996,4000000,84,7,6989
Waiting to Exhale,1995,15000000,127,5,1547
Waking Ned,1998,3000000,91,7,6932
Walking and Talking,1996,1000000,86,6,859
Way Out West,1930,20000,71,5,19
Welcome Danger,1929,979828,115,6,48
Welcome to Collinwood,2002,12000000,86,6,2585
Welcome to Mooseport,2004,26000000,110,5,2088
Welcome to the Dollhouse,1995,800000,88,7,5534
What a Girl Wants,2003,20000000,105,5,3151
What Price Glory,1926,360000,116,7,33
What Women Want,2000,65000000,127,6,18962
Whatever It Takes,2000,15000000,94,5,1692
Where the Heart Is,2000,15000000,120,6,4783
Where the Money Is,2000,18000000,89,6,1379
While You Were Sleeping,1995,17000000,103,6,12523
Whipped,2000,3000000,82,4,1482
Who Framed Roger Rabbit,1988,70000000,103,7,20313
Wide Awake,1998,7000000,88,5,604
Wild at Heart,1990,9500000,124,7,8997
Wild Gals of the Naked West,1962,26000,65,2,67
Wild Guitar,1962,30000,92,4,51
Wild Wild West,1999,170000000,107,4,17936
Willow,1988,35000000,130,6,9830
Wimbledon,2004,31000000,98,6,2911
Wise Guys,1986,13000000,100,5,740
Woman on Top,2000,8000000,92,5,1989
Women Talking Dirty,1999,5000000,97,5,82
Wonder Boys,2000,35000000,111,7,14949
Woo,1998,13000000,84,3,391
Yentl,1983,12000000,132,5,1941
Yesil isik,2002,1500000,102,3,35
Young Frankenstein,1974,2800000,106,8,21258
Your Face,1987,2000,3,7,100
Zero Effect,1998,5000000,116,7,4667
Ziegfeld Follies,1946,3240816,110,6,309
Zimmer Feri,1998,500000,97,6,56
Zoolander,2001,28000000,89,6,16681
